Countries and Areas,BCG,DTP1,DTP3,Polio3,MCV1,MCV2,HepB3,Hib3,Rota,PCV3,PAB_against_tetanus,Pneumonia_with_ARI           
,Diarrhoea_with_ORS,Malaria_with_fever,Children_sleeping_under_ITN    ,Households_with_one_ITN
Kuwait,99,99,99,99,99,99,99,99,3,99,99,0,0,0,0,0
Kyrgyzstan,97,98,94,92,96,96,92,92,0,92,0,60,33,56,0,0
Lao People's Democratic Republic,79,73,68,67,69,57,68,68,0,56,90,40,56,58,50,61
Latvia,95,97,96,96,98,94,96,96,79,82,0,0,0,0,0,0
Lebanon,0,96,83,81,82,63,80,85,0,82,0,74,44,0,0,0
Lesotho,98,98,93,90,90,82,93,93,70,93,85,63,53,61,0,0
Liberia,92,99,84,84,91,0,84,84,74,84,89,51,60,78,44,62
Libya,99,98,97,97,97,96,97,97,97,96,0,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,96,95,92,92,92,92,93,92,1,82,0,0,0,0,0,0
Luxembourg,0,99,99,99,99,90,96,99,89,96,0,0,0,0,0,0
Madagascar,70,81,75,76,62,0,75,75,78,75,78,41,15,46,73,80
Malawi,92,96,92,91,87,72,92,92,90,92,89,78,65,54,68,82
Malaysia,98,99,99,99,96,99,99,99,0,0,92,0,0,0,0,0
Maldives,99,99,99,99,99,99,99,99,0,0,99,22,75,86,0,0
Mali,83,82,71,73,70,0,71,71,55,68,85,71,21,53,73,85
Malta,0,99,97,97,96,95,98,97,0,0,0,0,0,0,0,0
Marshall Islands,98,97,81,80,83,61,84,72,42,67,0,0,38,63,0,0
Mauritania,90,89,81,81,78,0,81,81,76,77,80,34,25,35,18,49
Mauritius,99,98,97,98,99,99,97,97,95,96,95,0,0,0,0,0
Mexico,96,90,88,88,97,99,55,88,77,88,96,73,61,0,0,0
Micronesia (Federated States of),80,97,75,75,73,48,83,59,52,67,0,0,0,0,0,0
Monaco,89,99,99,99,87,79,99,99,0,0,0,0,0,0,0,0
Mongolia,99,99,99,99,99,98,99,99,0,26,0,70,42,0,0,0
Montenegro,83,95,87,87,58,83,73,87,0,0,0,89,16,74,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,99,99,99,99,99,99,99,99,99,99,88,70,22,0,0,0
Mozambique,95,90,80,80,85,59,80,80,80,80,86,57,46,69,73,82
Myanmar,90,95,91,91,93,87,91,91,0,91,90,58,62,65,19,27
Namibia,94,94,89,84,82,50,89,89,92,61,88,68,72,63,6,24
Nauru,99,99,90,90,99,94,90,90,0,0,0,69,23,51,0,0
Nepal,96,96,91,91,91,69,91,91,0,82,89,85,37,80,0,0
Netherlands,0,97,93,93,93,89,92,93,0,93,0,0,0,0,0,0
New Zealand,0,95,93,93,92,90,93,92,86,96,0,0,0,0,0,0
Nicaragua,98,99,98,99,99,95,98,98,98,98,90,58,65,0,0,0
Niger,87,91,79,79,77,48,79,79,79,79,81,59,41,75,96,87
Nigeria,53,70,57,57,65,0,57,57,0,57,60,73,40,72,49,65
Niue,99,99,99,99,99,99,99,99,99,99,0,0,0,0,0,0
North Macedonia,97,97,91,91,83,97,91,91,0,0,0,93,62,0,0,0
Norway,0,99,96,96,96,93,0,96,93,94,0,0,0,0,0,0
Oman,99,99,99,99,99,99,99,99,0,99,99,56,59,0,0,0
Pakistan,86,83,75,75,76,67,75,75,58,79,85,84,37,81,0,4
Palau,0,99,95,98,90,75,98,92,93,89,0,0,0,0,0,0
Panama,99,96,88,88,98,99,88,88,95,92,0,82,52,0,0,0
Papua New Guinea,69,67,61,67,61,0,61,61,0,43,70,63,30,48,0,69
Paraguay,91,91,88,88,93,83,88,88,91,94,95,89,28,86,0,0
Peru,81,90,84,83,85,66,84,84,85,82,95,62,32,61,0,0
Philippines,75,66,65,66,67,40,65,65,0,43,90,67,45,55,0,0
Poland,92,98,95,87,93,92,91,95,0,60,0,0,0,0,0,0
Portugal,0,99,99,99,99,96,98,99,0,98,0,0,0,0,0,0
Qatar,99,99,98,98,99,95,98,98,95,98,0,0,0,0,0,0
Republic of Korea,98,98,98,98,98,97,98,98,0,97,0,0,0,0,0,0
Republic of Moldova,96,96,93,94,93,96,94,92,75,94,0,79,42,0,0,0
Romania,96,94,86,86,90,81,93,86,0,0,0,0,0,0,0,0
Russian Federation,95,97,97,96,98,97,97,0,0,82,0,0,0,0,0,0
Rwanda,97,98,97,97,99,96,97,97,98,97,95,54,28,56,68,84
Saint Kitts and Nevis,97,99,97,97,96,96,98,98,0,0,0,0,0,0,0,0
Saint Lucia,99,99,95,95,86,68,95,95,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,99,99,97,99,99,99,97,97,0,0,0,0,0,0,0,0
Samoa,62,56,34,31,31,13,34,34,0,0,0,78,63,59,0,0
San Marino,0,94,90,93,89,84,78,91,0,58,0,0,0,0,0,0
Sao Tome and Principe,96,97,95,95,95,76,95,95,95,95,99,69,49,66,61,78
Saudi Arabia,98,96,96,98,98,97,97,96,97,98,0,0,0,0,0,0
Senegal,83,83,81,81,82,63,82,82,80,81,95,60,28,51,61,84
Serbia,98,98,96,96,92,90,91,96,0,48,0,90,36,0,0,0
Seychelles,97,99,99,99,96,97,99,99,99,16,100,0,0,0,0,0
Sierra Leone,90,98,90,90,80,55,90,90,92,90,90,74,78,70,60,71
Singapore,98,98,96,96,95,84,96,96,0,82,0,0,0,0,0,0
Slovakia,0,99,96,96,96,97,96,96,0,96,0,0,0,0,0,0
Slovenia,0,97,93,93,93,94,0,93,0,60,0,0,0,0,0,0
Solomon Islands,83,86,85,85,93,54,85,85,0,84,85,79,37,62,70,86
Somalia,37,52,42,47,46,0,42,42,0,0,67,13,13,0,11,12
South Africa,70,81,74,74,70,50,74,74,70,73,90,88,51,68,0,0
South Sudan,52,58,49,50,51,0,49,49,0,0,68,48,39,57,46,66
Spain,0,97,93,93,97,94,94,94,0,93,0,0,0,0,0,0
Sri Lanka,99,99,99,99,99,99,99,99,0,0,99,52,54,92,3,6
State of Palestine,99,99,99,99,99,99,99,99,99,96,0,77,32,0,0,0
Sudan,88,97,93,93,88,72,93,93,94,93,80,48,20,0,30,25
Suriname,0,95,95,95,98,39,95,95,0,0,93,76,42,0,43,61
Sweden,26,99,97,97,97,95,92,97,0,97,0,0,0,0,0,0
Switzerland,0,97,96,96,96,89,72,95,0,85,0,0,0,0,0,0
Syrian Arab Republic,79,67,47,53,63,54,47,48,0,0,91,77,50,0,0,0
